,Province_State,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incidence_Rate,Case-Fatality_Ratio,Country_Region,Combined_Key,Last_Update
0,Alabama,32.88428035358209,-86.71012237686571,2089.3333333333335,35.31884057971015,0.0,2054.014492753623,3239.9325535488906,2.0594842684712624,US,"Alabama, US",
1,Alaska,60.41150609269231,-148.68769288076925,249.22222222222223,1.6666666666666667,0.0,247.55555555555554,681.8067525668181,0.7242884194065496,US,"Alaska, US",
2,Arizona,33.675903642,-111.46323212666667,13308.875,340.6875,0.0,12968.1875,2927.250678937342,6.041792466461883,US,"Arizona, US",
3,Arkansas,34.911889390266666,-92.43397826839998,988.9473684210526,15.539473684210526,0.0,973.4078947368421,2564.9724143124126,1.821153101596221,US,"Arkansas, US",
4,California,37.84396164603449,-120.72859416379308,13276.49152542373,254.54237288135593,0.0,13021.949152542373,1544.8584199971447,1.4726158068176334,US,"California, US",
5,Colorado,38.935474467656235,-105.48623995937497,974.7878787878788,30.5,0.0,944.2878787878788,881.2097084263132,2.0334984705494734,US,"Colorado, US",
6,Connecticut,41.61368014,-72.65682967875,6169.666666666667,499.1111111111111,0.0,5670.555555555556,1197.5309106266814,6.5158105510391495,US,"Connecticut, US",
7,Delaware,39.10927682333334,-75.53323745666665,4862.25,155.25,0.0,4707.0,2033.1107108064327,2.558009398967391,US,"Delaware, US",
8,Diamond Princess,,,49.0,0.0,0.0,49.0,,0.0,US,"Diamond Princess, US",
9,District of Columbia,38.90417773,-77.01655992,14902.0,619.0,0.0,14283.0,2111.515567149227,4.153804858408267,US,"District of Columbia, US",
10,Florida,28.94075487910448,-82.70074390925375,10018.132352941177,195.39705882352942,0.0,9822.735294117647,3523.976717295195,1.8421327112143615,US,"Florida, US",
11,Georgia,32.80853214484278,-83.57742992610066,1894.5403726708075,40.98757763975155,0.0,1853.552795031056,3019.3721178652295,2.8690190377003164,US,"Georgia, US",
12,Grand Princess,,,103.0,3.0,0.0,100.0,,2.912621359223301,US,"Grand Princess, US",
13,Guam,13.4443,144.7937,2074.0,31.0,0.0,2043.0,1262.8707475537208,1.4946962391513985,US,"Guam, US",
14,Hawaii,20.99064747,-157.41445579999998,1887.6666666666667,20.0,0.0,1867.6666666666667,418.44606390036836,1.838465651513308,US,"Hawaii, US",
15,Idaho,44.2634012584091,-114.46012491818179,827.7111111111111,9.8,0.0,817.9111111111112,1579.9632897139206,1.0032151815843326,US,"Idaho, US",
16,Illinois,39.84361770127451,-89.17833006960784,2644.625,83.38461538461539,0.0,2561.2403846153848,1441.0035806181918,1.8558327513052506,US,"Illinois, US",
17,Indiana,39.83735316565217,-86.21856844913039,1190.9569892473119,37.666666666666664,0.0,1153.2903225806451,1346.4717832066463,2.908149199974838,US,"Indiana, US",
18,Iowa,42.02991002353537,-93.46551942343434,798.04,12.65,0.0,785.2,2100.4457978298524,1.5817059811675507,US,"Iowa, US",
19,Kansas,38.485378896857135,-98.08455153209523,495.1509433962264,5.60377358490566,0.0,489.54716981132077,1383.1171072253428,1.210317312108685,US,"Kansas, US",
20,Kentucky,37.62214385000001,-85.19989061799998,505.0082644628099,9.15702479338843,0.0,495.8512396694215,1120.724105395922,1.768728543133888,US,"Kentucky, US",
21,Louisiana,31.092427383437492,-91.82418665609377,2428.530303030303,80.93939393939394,0.0,2347.590909090909,3733.9031317983195,4.510090882284929,US,"Louisiana, US",
22,Maine,44.68768840625,-69.523768628125,279.6666666666667,7.722222222222222,0.0,271.94444444444446,225.15414690457158,3.362910612539997,US,"Maine, US",
23,Maryland,39.014920690416666,-76.67546760874998,4789.76,155.04,0.0,4634.72,1498.3643167182465,3.1866707333614683,US,"Maryland, US",
24,Massachusetts,42.17639998153847,-71.57704993461539,9084.357142857143,663.9285714285714,0.0,8420.42857142857,1429.4307498409673,7.750352638518131,US,"Massachusetts, US",
25,Michigan,44.04362008975902,-85.18169553542172,1472.2643678160919,80.10344827586206,0.0,1392.16091954023,685.158730176243,2.8542143237500217,US,"Michigan, US",
26,Minnesota,45.55201297954022,-94.43095302689653,1008.1931818181819,22.897727272727273,0.0,985.2954545454545,1261.0905289692173,1.6492882859752802,US,"Minnesota, US",
27,Mississippi,32.792726566585365,-89.64572580048781,1121.5301204819277,33.8433734939759,0.0,1087.686746987952,3625.542447800062,3.3172428746402827,US,"Mississippi, US",
28,Missouri,38.456764881637945,-92.4994868846552,964.6495726495726,15.598290598290598,0.0,949.0512820512821,1432.3361520297208,1.020562550782283,US,"Missouri, US",
29,Montana,46.97469113196428,-109.70039488214286,178.2982456140351,2.736842105263158,0.0,175.56140350877192,874.9081308536682,1.0413011700810804,US,"Montana, US",
30,Nebraska,41.321794947204275,-99.03901222387097,434.01063829787233,4.702127659574468,0.0,429.3085106382979,1279.1596280773126,1.286270096822427,US,"Nebraska, US",
31,Nevada,39.25599674470589,-117.5639935352941,4189.944444444444,84.88888888888889,0.0,4105.055555555556,830.8086483638789,1.2714436586548763,US,"Nevada, US",
32,New Hampshire,43.478972876,-71.57765670500001,720.0,39.81818181818182,0.0,680.1818181818181,340.2547539629565,2.5504484813921056,US,"New Hampshire, US",
33,New Jersey,40.286440910952386,-74.62244971476191,9059.5,730.1818181818181,0.0,8329.318181818182,1989.3869411669245,7.990893872185072,US,"New Jersey, US",
34,New Mexico,34.54935897878787,-105.88710740909092,809.1764705882352,24.91176470588235,0.0,784.2647058823529,1051.6240454551735,2.570814584613655,US,"New Mexico, US",
